,home_team_name,away_team_name,event_id,event_timezone,event_open_date,event_country_code,event_market_count,competition_name,competition_id,betname,market_name,market_id,market_total_matched
33,Italian Serie A,N/A,241361,GMT,2020-09-28T13:21:00.000Z,IT,3,Italian Serie A,81,TF,Top 4 Finish 2021/22,1.185459683,209221.317424
34,Italian Serie A,N/A,241361,GMT,2020-09-28T13:21:00.000Z,IT,3,Italian Serie A,81,TF,Winner 2021/22,1.185303592,1372477.3244
35,Spanish La Liga,N/A,259241,Europe/London,2021-08-13T19:00:00.000Z,ES,2,Spanish La Liga,117,TF,Top 4 Finish 2021/22,1.185994681,43977.143112000005
36,Spanish La Liga,N/A,259241,Europe/London,2021-08-13T19:00:00.000Z,ES,2,Spanish La Liga,117,TF,Winner 2021/22,1.184313210,791962.347652
37,French Ligue 1,N/A,268416,Europe/London,2018-08-11T14:00:00.000Z,FR,2,French Ligue 1,55,TF,Top 3 Finish 2021/22,1.188466808,3564.407056
38,French Ligue 1,N/A,268416,Europe/London,2018-08-11T14:00:00.000Z,FR,2,French Ligue 1,55,TF,Winner W/O Paris St-G 2021/22,1.186003869,32692.493120000003
39,Brazilian Serie A,N/A,268489,Europe/London,2018-04-13T22:00:00.000Z,BR,1,Brazilian Serie A,13,TF,Winner 2022/23,1.196169743,5263.976312
40,Portuguese Primeira Liga,N/A,269462,Europe/London,2021-08-06T19:15:00.000Z,PT,1,Portuguese Primeira Liga,99,TF,Winner 2021/22,1.185999126,32899.759172
41,English National League,N/A,28428008,Europe/London,2019-05-30T10:10:00.000Z,GB,1,English National League,11086347,TF,Winner 2021/22,1.185333556,121867.119304
42,Australian A-League Men,N/A,28984188,Europe/London,2021-11-19T09:45:00.000Z,AU,5,Australian A-League Men,12117172,TF,Grand Final Winner,1.188542208,21619.74808
43,Australian A-League Men,N/A,28984188,Europe/London,2021-11-19T09:45:00.000Z,AU,5,Australian A-League Men,12117172,TF,Minor Premiers,1.190691433,12502.763280000003
44,Australian A-League Men,N/A,28984188,Europe/London,2021-11-19T09:45:00.000Z,AU,5,Australian A-League Men,12117172,TF,Top 6,1.190691416,66159.06402
45,Australian A-League Men,N/A,28984188,Europe/London,2021-11-19T09:45:00.000Z,AU,5,Australian A-League Men,12117172,TF,Top Goalscorer,1.190653563,10048.475919999999
46,Australian A-League Men,N/A,28984188,Europe/London,2021-11-19T09:45:00.000Z,AU,5,Australian A-League Men,12117172,TF,Winning State,1.190755630,5749.514512
47,CONMEBOL Copa Libertadores,N/A,29031295,Europe/London,2021-04-20T22:15:00.000Z,NF,1,CONMEBOL Copa Libertadores,12147796,TF,Winner 2022,1.197091454,6658.491504
48,FIFA Women's World Cup,N/A,29193214,Europe/London,2023-08-20T04:00:00.000Z,NF,1,FIFA Women's World Cup,12220485,TF,Winner 2023,1.193885918,853.6813040000001
49,Seattle Sounders,San Jose Earthquakes,30009984,Europe/London,2020-09-12T02:00:00.000Z,US,1,N/A,N/A,TF,To Score,1.172966865,0.0
50,Los Angeles FC,Portland Timbers,30015389,Europe/London,2020-09-14T06:26:44.000Z,GB,1,N/A,N/A,TF,Corners Match Bet,1.173070779,0.0
51,UEFA Europa Conference League,N/A,30843115,GMT,2022-01-18T17:45:00.000Z,NF,1,UEFA Europa Conference League,12375833,TF,Winner 2021/2022,1.193535621,31135.183463999998
52,Belgium,Netherlands,31141486,GMT,2022-06-03T18:45:00.000Z,NF,7,UEFA Nations League,11984200,TF,Asian Handicap,1.192641490,0.0
53,Belgium,Netherlands,31141486,GMT,2022-06-03T18:45:00.000Z,NF,7,UEFA Nations League,11984200,TF,Correct Score,1.192641544,309.26
54,Belgium,Netherlands,31141486,GMT,2022-06-03T18:45:00.000Z,NF,7,UEFA Nations League,11984200,TF,Goal Lines,1.192641557,0.0
55,Belgium,Netherlands,31141486,GMT,2022-06-03T18:45:00.000Z,NF,7,UEFA Nations League,11984200,TF,Half Time,1.192641484,0.0
56,Belgium,Netherlands,31141486,GMT,2022-06-03T18:45:00.000Z,NF,7,UEFA Nations League,11984200,TF,Match Odds,1.192641538,1980.5010399999999
57,Belgium,Netherlands,31141486,GMT,2022-06-03T18:45:00.000Z,NF,7,UEFA Nations League,11984200,TF,Over/Under 0.5 Goals,1.192641542,0.0
58,Belgium,Netherlands,31141486,GMT,2022-06-03T18:45:00.000Z,NF,7,UEFA Nations League,11984200,TF,Over/Under 2.5 Goals,1.192641545,0.0
59,Czech Republic,Switzerland,31141488,GMT,2022-06-02T18:45:00.000Z,NF,7,UEFA Nations League,11984200,TF,Asian Handicap,1.192641368,0.0
60,Czech Republic,Switzerland,31141488,GMT,2022-06-02T18:45:00.000Z,NF,7,UEFA Nations League,11984200,TF,Correct Score,1.192641422,0.0
61,Czech Republic,Switzerland,31141488,GMT,2022-06-02T18:45:00.000Z,NF,7,UEFA Nations League,11984200,TF,Goal Lines,1.192641435,0.0
62,Czech Republic,Switzerland,31141488,GMT,2022-06-02T18:45:00.000Z,NF,7,UEFA Nations League,11984200,TF,Half Time,1.192641362,0.0
63,Czech Republic,Switzerland,31141488,GMT,2022-06-02T18:45:00.000Z,NF,7,UEFA Nations League,11984200,TF,Match Odds,1.192641416,157.35148800000002
64,Czech Republic,Switzerland,31141488,GMT,2022-06-02T18:45:00.000Z,NF,7,UEFA Nations League,11984200,TF,Over/Under 0.5 Goals,1.192641420,0.0
65,Czech Republic,Switzerland,31141488,GMT,2022-06-02T18:45:00.000Z,NF,7,UEFA Nations League,11984200,TF,Over/Under 2.5 Goals,1.192641423,0.0
66,Croatia,Austria,31141489,GMT,2022-06-03T18:45:00.000Z,NF,7,UEFA Nations League,11984200,TF,Asian Handicap,1.192641246,0.0
67,Croatia,Austria,31141489,GMT,2022-06-03T18:45:00.000Z,NF,7,UEFA Nations League,11984200,TF,Correct Score,1.192641300,47.87344800000001
68,Croatia,Austria,31141489,GMT,2022-06-03T18:45:00.000Z,NF,7,UEFA Nations League,11984200,TF,Goal Lines,1.192641313,0.0
69,Croatia,Austria,31141489,GMT,2022-06-03T18:45:00.000Z,NF,7,UEFA Nations League,11984200,TF,Half Time,1.192641240,340.928224
70,Croatia,Austria,31141489,GMT,2022-06-03T18:45:00.000Z,NF,7,UEFA Nations League,11984200,TF,Match Odds,1.192641294,288.725136
71,Croatia,Austria,31141489,GMT,2022-06-03T18:45:00.000Z,NF,7,UEFA Nations League,11984200,TF,Over/Under 0.5 Goals,1.192641298,0.0
