,event_id,home_team_name,away_team_name,event_timezone,event_open_date,event_country_code,event_market_count,competition_name,competition_id,betname,market_name,market_id,market_total_matched
0,13932380,Danish Superliga,N/A,Europe/London,2021-08-03T12:10:00.000Z,DK,1,Danish Superliga,23,TF,Winner 2021/22,1.186003316,12251.489762000001
1,1908053,English Championship,N/A,Europe/London,2021-08-06T18:45:00.000Z,GB,1,English Championship,7129730,TF,Promotion 2021/22,1.184102729,405227.079098
2,1908056,English League 2,N/A,Europe/London,2019-08-05T14:00:00.000Z,GB,1,English League 2,37,TF,Promotion 2021/22,1.184103941,105584.678954
3,2022802,English Premier League,N/A,Europe/London,2022-01-24T18:10:00.000Z,GB,13,English Premier League,10932509,TF,Handicap Win 2021/22,1.185992871,335629.5438380001
4,2022802,English Premier League,N/A,Europe/London,2022-01-24T18:10:00.000Z,GB,13,English Premier League,10932509,TF,Next Manager To Leave Position,1.197773573,710.1149200000001
5,2022802,English Premier League,N/A,Europe/London,2022-01-24T18:10:00.000Z,GB,13,English Premier League,10932509,TF,PFA Player of the Year 2021/22,1.186109058,213814.34779200002
6,2022802,English Premier League,N/A,Europe/London,2022-01-24T18:10:00.000Z,GB,13,English Premier League,10932509,TF,Relegation 2021/22,1.184061110,4163563.7400100003
7,2022802,English Premier League,N/A,Europe/London,2022-01-24T18:10:00.000Z,GB,13,English Premier League,10932509,TF,Rock Bottom 2021/22,1.185352764,344085.243521
8,2022802,English Premier League,N/A,Europe/London,2022-01-24T18:10:00.000Z,GB,13,English Premier League,10932509,TF,Straight Forecast 2021/22,1.185992876,64924.326684
9,2022802,English Premier League,N/A,Europe/London,2022-01-24T18:10:00.000Z,GB,13,English Premier League,10932509,TF,Top 10 Finish 2021/22,1.184315597,1104288.3577810002
10,2022802,English Premier League,N/A,Europe/London,2022-01-24T18:10:00.000Z,GB,13,English Premier League,10932509,TF,Top 3 Finish 2021/22,1.185352213,192131.56583500002
11,2022802,English Premier League,N/A,Europe/London,2022-01-24T18:10:00.000Z,GB,13,English Premier League,10932509,TF,Top 4 Finish 2021/22,1.184315510,6569369.479736
12,2022802,English Premier League,N/A,Europe/London,2022-01-24T18:10:00.000Z,GB,13,English Premier League,10932509,TF,Top 6 Finish 2021/22,1.185351792,304048.123736
