,event_id,home_team_name,away_team_name,event_timezone,event_open_date,event_country_code,event_market_count,competition_name,competition_id,betname,market_name,market_id,market_total_matched,odd,odd_type,odd_size,selection_id
8741,31447509,CD Maipu,Estudiantes de Caseros,GMT,2022-05-14T18:30:00.000Z,AR,24,Argentinian Primera B Nacional,803237,TF,Double Chance,1.199021640,0.0,110.0,lay,27.77,6384648
8741,31447509,CD Maipu,Estudiantes de Caseros,GMT,2022-05-14T18:30:00.000Z,AR,24,Argentinian Primera B Nacional,803237,TF,Double Chance,1.199021640,0.0,1.64,lay,67.83,6384648
8741,31447509,CD Maipu,Estudiantes de Caseros,GMT,2022-05-14T18:30:00.000Z,AR,24,Argentinian Primera B Nacional,803237,TF,Double Chance,1.199021640,0.0,1.5,lay,63.4,6384648
8741,31447509,CD Maipu,Estudiantes de Caseros,GMT,2022-05-14T18:30:00.000Z,AR,24,Argentinian Primera B Nacional,803237,TF,Double Chance,1.199021640,0.0,1.37,back,61.77,6384648
8741,31447509,CD Maipu,Estudiantes de Caseros,GMT,2022-05-14T18:30:00.000Z,AR,24,Argentinian Primera B Nacional,803237,TF,Double Chance,1.199021640,0.0,1.38,back,71.24,6384648
8741,31447509,CD Maipu,Estudiantes de Caseros,GMT,2022-05-14T18:30:00.000Z,AR,24,Argentinian Primera B Nacional,803237,TF,Double Chance,1.199021640,0.0,110.0,lay,11.13,6384647
8741,31447509,CD Maipu,Estudiantes de Caseros,GMT,2022-05-14T18:30:00.000Z,AR,24,Argentinian Primera B Nacional,803237,TF,Double Chance,1.199021640,0.0,2.02,lay,73.28,6384647
8741,31447509,CD Maipu,Estudiantes de Caseros,GMT,2022-05-14T18:30:00.000Z,AR,24,Argentinian Primera B Nacional,803237,TF,Double Chance,1.199021640,0.0,1.91,lay,103.3,6384647
8741,31447509,CD Maipu,Estudiantes de Caseros,GMT,2022-05-14T18:30:00.000Z,AR,24,Argentinian Primera B Nacional,803237,TF,Double Chance,1.199021640,0.0,1.66,back,107.17,6384647
8741,31447509,CD Maipu,Estudiantes de Caseros,GMT,2022-05-14T18:30:00.000Z,AR,24,Argentinian Primera B Nacional,803237,TF,Double Chance,1.199021640,0.0,1.71,back,285.91,6384647
8741,31447509,CD Maipu,Estudiantes de Caseros,GMT,2022-05-14T18:30:00.000Z,AR,24,Argentinian Primera B Nacional,803237,TF,Double Chance,1.199021640,0.0,1.73,back,86.21,6384647
8741,31447509,CD Maipu,Estudiantes de Caseros,GMT,2022-05-14T18:30:00.000Z,AR,24,Argentinian Primera B Nacional,803237,TF,Double Chance,1.199021640,0.0,1.36,lay,65.99,6384646
8741,31447509,CD Maipu,Estudiantes de Caseros,GMT,2022-05-14T18:30:00.000Z,AR,24,Argentinian Primera B Nacional,803237,TF,Double Chance,1.199021640,0.0,1.34,lay,146.08,6384646
8741,31447509,CD Maipu,Estudiantes de Caseros,GMT,2022-05-14T18:30:00.000Z,AR,24,Argentinian Primera B Nacional,803237,TF,Double Chance,1.199021640,0.0,1.33,lay,127.22,6384646
8741,31447509,CD Maipu,Estudiantes de Caseros,GMT,2022-05-14T18:30:00.000Z,AR,24,Argentinian Primera B Nacional,803237,TF,Double Chance,1.199021640,0.0,1.15,back,79.71,6384646
8741,31447509,CD Maipu,Estudiantes de Caseros,GMT,2022-05-14T18:30:00.000Z,AR,24,Argentinian Primera B Nacional,803237,TF,Double Chance,1.199021640,0.0,1.24,back,290.77,6384646
8746,31447509,CD Maipu,Estudiantes de Caseros,GMT,2022-05-14T18:30:00.000Z,AR,24,Argentinian Primera B Nacional,803237,TF,First Half Goals 2.5,1.199021637,0.0,110.0,lay,28.82,47973
8746,31447509,CD Maipu,Estudiantes de Caseros,GMT,2022-05-14T18:30:00.000Z,AR,24,Argentinian Primera B Nacional,803237,TF,First Half Goals 2.5,1.199021637,0.0,10.0,back,95.61,47973
8746,31447509,CD Maipu,Estudiantes de Caseros,GMT,2022-05-14T18:30:00.000Z,AR,24,Argentinian Primera B Nacional,803237,TF,First Half Goals 2.5,1.199021637,0.0,1.12,lay,853.66,47972
